Day,Price,Open,High,Low,close,adjusted_close,volume,Change %,RSI,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,WMA,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,MOM,WILLR,ADX,CCI,Aroon Up,Aroon Down
685,"2,180.39","2,168.29","2,180.84","2,166.38",2180.3899,2180.3899,4543860000,0.75%,59.3865,2137.0335,2143.8247,5.2658,7.6501,-2.3843,81.2742,81.3288,2140.636,2187.634,2086.4329,2137.0335,1.26E+12,7.94E+11,40.7898,-1.939,22.5826,146.5563,85,65
686,"2,176.94","2,177.53","2,179.22","2,172.20",2176.9399,2176.9399,3830590000,-0.16%,58.343,2138.666,2146.9785,7.1391,7.6188,-0.4796,80.544,82.8712,2144.4366,2192.1237,2085.2082,2138.666,1.26E+12,7.90E+11,32.6499,-5.4412,22.1306,131.7949,80,60
687,"2,187.12","2,178.61","2,188.06","2,176.65",2187.1201,2187.1201,3809160000,0.47%,60.499,2140.955,2150.8015,9.3376,7.8538,1.4838,85.4872,92.2617,2149.0513,2198.4433,2083.4667,2140.955,1.27E+12,7.94E+11,45.78,-0.9014,21.9123,135.2996,100,55
688,"2,181.90","2,186.85","2,189.89","2,180.38",2181.8999,2181.8999,3572400000,-0.24%,58.8548,2142.992,2153.7633,10.5372,7.2427,3.2945,86.8784,85.5023,2152.9508,2203.1883,2082.7957,2142.992,1.26E+12,7.91E+11,40.74,-7.5306,21.7482,117.2009,100,50
689,"2,198.18","2,186.43","2,198.70","2,186.43",2198.1799,2198.1799,3607010000,0.75%,62.2249,2145.3345,2157.9934,12.6557,7.4889,5.1667,89.4898,90.7055,2158.2068,2210.1178,2080.5511,2145.3345,1.27E+12,7.94E+11,46.8499,-0.4525,21.7984,128.5352,100,45
690,"2,202.94","2,201.56","2,204.80","2,194.51",2202.9399,2202.9399,3957940000,0.22%,63.1537,2148.3235,2162.2741,14.5509,7.5074,7.0436,88.6307,89.6843,2163.693,2217.7776,2078.8693,2148.3235,1.27E+12,7.98E+11,59.78,-1.5372,21.9836,124.3993,100,40
691,"2,204.72","2,198.55","2,204.72","2,194.51",2204.72,2204.72,3418640000,0.08%,63.507,2151.588,2166.3165,16.012,7.1747,8.8373,92.6189,97.4669,2169.0641,2225.0832,2078.0927,2151.588,1.27E+12,8.02E+11,65.29,-0.0662,22.1596,110.8475,95,35
692,"2,213.35","2,206.27","2,213.35","2,206.27",2213.3501,2213.3501,1584600000,0.39%,65.209,2155.6035,2170.7959,17.6627,7.0603,10.6023,95.0515,98.0032,2174.9462,2233.264,2077.9429,2155.6035,1.27E+12,8.03E+11,80.3101,0,22.5237,117.1564,100,30
693,"2,201.72","2,210.21","2,211.14","2,200.36",2201.72,2201.72,3505650000,-0.53%,61.1623,2159.369,2173.7411,17.8269,5.7796,12.0473,93.6582,85.5044,2179.3383,2238.2951,2080.4428,2159.369,1.27E+12,8.00E+11,75.3101,-8.9766,22.632,94.3612,95,25
694,"2,204.66","2,200.76","2,210.46","2,198.15",2204.6599,2204.6599,3706560000,0.13%,61.7933,2163.2945,2176.6857,17.9869,4.7517,13.2352,84.5772,70.2239,2183.6517,2243.0268,2083.5621,2163.2945,1.27E+12,8.03E+11,78.51,-6.7075,22.6461,87.2466,90,20
695,"2,198.81","2,204.97","2,214.10","2,198.81",2198.8101,2198.8101,5533980000,-0.27%,59.7599,2167.649,2178.7928,17.4407,3.3644,14.0763,66.6452,44.2073,2187.0341,2245.1195,2090.1784,2167.649,1.27E+12,7.98E+11,87.0901,-11.7336,22.7523,80.4444,100,15
696,"2,191.08","2,200.17","2,202.60","2,187.44",2191.0801,2191.0801,5063740000,-0.35%,57.1445,2172.306,2179.963,16.1973,1.6968,14.5005,48.0857,29.826,2189.2657,2243.3895,2101.2224,2172.306,1.26E+12,7.93E+11,93.1401,-17.6656,22.3952,53.7013,95,10
697,"2,191.95","2,191.12","2,197.95","2,188.37",2191.95,2191.95,3779500000,0.04%,57.3655,2177.4705,2181.1046,15.108,0.486,14.622,30.5134,17.5069,2191.1365,2237.6704,2117.2706,2177.4705,1.26E+12,7.96E+11,103.29,-16.998,22.0559,46.8044,90,5
698,"2,204.71","2,200.65","2,209.42","2,199.97",2204.71,2204.71,3895230000,0.58%,60.5104,2183.447,2183.3528,15.1002,0.3826,14.7176,26.3719,31.783,2193.7307,2227.3337,2139.5603,2183.447,1.26E+12,8.00E+11,119.53,-8.2725,22.0537,77.0632,85,0
699,"2,212.23","2,207.26","2,212.78","2,202.21",2212.23,2212.23,3855320000,0.34%,62.2383,2187.4825,2186.103,15.522,0.6435,14.8785,35.8389,58.2268,2196.472,2226.0481,2148.9168,2187.4825,1.27E+12,8.04E+11,80.71,-2.0655,22.1406,88.3279,80,0
700,"2,241.35","2,210.72","2,241.63","2,208.93",2241.3501,2241.3501,4501820000,1.32%,67.9541,2192.572,2191.3646,17.9985,2.496,15.5025,58.5863,85.7491,2201.6022,2231.3628,2153.7811,2192.572,1.27E+12,8.09E+11,101.79,-0.2406,22.8756,164.3655,100,0
701,"2,246.19","2,241.13","2,251.69","2,237.57",2246.1899,2246.1899,4200580000,0.22%,68.7808,2196.7185,2196.5861,20.1197,3.6938,16.4259,79.5234,94.5943,2206.7087,2239.6032,2153.8338,2196.7185,1.27E+12,8.13E+11,82.9299,-5.4715,23.7605,205.5788,100,0
702,"2,259.53","2,249.73","2,259.80","2,249.23",2259.53,2259.53,3884480000,0.59%,70.9548,2201.321,2202.5807,22.6165,4.9525,17.6641,92.3752,96.7821,2212.6908,2250.0287,2152.6133,2201.321,1.27E+12,8.17E+11,92.05,-0.2516,24.7431,216.9896,100,0
703,"2,256.96","2,258.83","2,264.03","2,252.37",2256.96,2256.96,4034510000,-0.11%,69.9667,2205.9465,2207.7597,24.11,5.1568,18.9532,94.8395,93.142,2217.9897,2257.27,2154.6229,2205.9465,1.27E+12,8.13E+11,92.51,-6.5494,25.7489,194.8733,100,0
704,"2,271.72","2,263.32","2,277.53","2,263.32",2271.72,2271.72,3857590000,0.65%,72.2988,2211.3225,2213.8512,26.1828,5.7836,20.3992,94.3795,93.2142,2224.2538,2266.4149,2156.23,2211.3225,1.27E+12,8.17E+11,107.52,-5.2272,26.9224,191.8517,100,0
705,"2,253.28","2,268.35","2,276.20","2,248.44",2253.28,2253.28,4406970000,-0.81%,65.6002,2214.967,2217.6063,26.0373,4.5106,21.5268,86.4975,73.1361,2228.2498,2271.0274,2158.9066,2214.967,1.27E+12,8.12E+11,72.8901,-23.0229,27.4102,128.124,95,0
706,"2,262.03","2,253.77","2,272.12","2,253.77",2262.03,2262.03,4168200000,0.39%,67.1217,2219.2215,2221.8371,26.3247,3.8383,22.4864,75.1792,59.1873,2232.732,2276.003,2162.44,2219.2215,1.27E+12,8.16E+11,85.0901,-15.3648,27.8737,116.312,90,0
707,"2,258.07","2,266.81","2,268.05","2,254.24",2258.0701,2258.0701,5920340000,-0.18%,65.7366,2222.769,2225.2879,25.9339,2.7581,23.1759,57.3451,39.712,2236.4319,2279.9489,2165.5891,2222.769,1.27E+12,8.10E+11,70.95,-20.0308,28.314,95.4248,85,0
708,"2,262.53","2,259.24","2,267.47","2,258.21",2262.53,2262.53,3248370000,0.20%,66.5548,2226.8005,2228.8347,25.688,2.0097,23.6783,47.2173,42.7526,2240.2186,2283.251,2170.35,2226.8005,1.27E+12,8.14E+11,80.6301,-16.4654,28.7322,90.3925,80,0
709,"2,270.76","2,266.50","2,272.56","2,266.14",2270.76,2270.76,3298780000,0.36%,68.0375,2230.4295,2232.8276,25.8592,1.7447,24.1145,45.482,53.9814,2244.4052,2288.3661,2172.4929,2230.4295,1.27E+12,8.17E+11,72.5801,-7.5147,29.2375,96.518,75,0
710,"2,265.18","2,270.54","2,271.23","2,265.15",2265.1799,2265.1799,2852230000,-0.25%,65.9508,2233.5415,2235.9088,25.2534,0.9111,24.3423,53.3072,63.1876,2247.7148,2291.9221,2175.1609,2233.5415,1.27E+12,8.14E+11,62.24,-13.7086,29.6694,81.0767,70,30
711,"2,260.96","2,262.93","2,263.18","2,256.08",2260.96,2260.96,2876320000,-0.19%,64.3791,2236.3535,2238.2946,24.1544,-0.1503,24.3047,58.8128,59.2693,2250.3261,2294.3266,2178.3804,2236.3535,1.27E+12,8.11E+11,56.24,-18.3928,29.6479,58.1452,65,25
712,"2,263.79","2,260.25","2,263.79","2,258.84",2263.79,2263.79,2020550000,0.13%,64.9685,2238.8755,2240.7228,23.2438,-0.8487,24.0925,56.8398,48.0626,2252.9391,2297.0146,2180.7364,2238.8755,1.27E+12,8.13E+11,50.4399,-15.2514,29.643,57.9813,60,20
713,"2,268.88","2,266.23","2,273.82","2,266.15",2268.8799,2268.8799,1987080000,0.22%,66.0324,2242.2335,2243.4044,22.6716,-1.1368,23.8083,53.0681,51.8723,2255.7967,2299.1457,2185.3213,2242.2335,1.27E+12,8.15E+11,67.1599,-9.6017,29.8884,71.6108,55,15
714,"2,249.92","2,270.23","2,271.31","2,249.11",2249.9199,2249.9199,2392360000,-0.84%,59.0054,2244.4965,2244.0249,20.4524,-2.6848,23.1371,46.8909,40.7378,2256.5287,2298.7918,2190.2012,2244.4965,1.27E+12,8.13E+11,45.26,-30.6472,29.3636,34.281,50,10
715,"2,249.26","2,249.50","2,254.51","2,244.56",2249.26,2249.26,2336370000,-0.03%,58.7762,2247.019,2244.5235,18.428,-3.7673,22.1953,41.0358,30.4974,2256.9824,2297.115,2196.923,2247.019,1.27E+12,8.11E+11,50.45,-31.3797,28.6818,7.7841,45,5
716,"2,238.83","2,251.61","2,253.58","2,233.62",2238.8301,2238.8301,2670900000,-0.46%,55.209,2249.4065,2243.9813,15.7999,-5.1163,20.9162,27.334,10.7667,2256.2025,2292.7007,2206.1123,2249.4065,1.27E+12,8.08E+11,47.75,-43.4051,27.617,-28.776,40,0
717,"2,257.83","2,251.57","2,263.88","2,245.13",2257.8301,2257.8301,3770530000,0.85%,59.8783,2252.7005,2245.3002,15.0764,-4.6718,19.7483,23.671,29.7489,2257.0047,2287.1233,2218.2777,2252.7005,1.27E+12,8.12E+11,65.8801,-25.3996,26.9141,14.9608,35,0
718,"2,270.75","2,261.60","2,272.82","2,261.60",2270.75,2270.75,3764890000,0.57%,62.6643,2256.0025,2247.724,15.3685,-3.5038,18.8723,32.1611,55.9677,2258.7237,2283.3129,2228.6922,2256.0025,1.27E+12,8.15E+11,66.04,-9.0016,26.4946,81.8331,30,0
719,"2,269.00","2,268.18","2,271.50","2,260.45",2269,2269,3761820000,-0.08%,62.05,2258.841,2249.7503,15.2825,-2.8718,18.1543,55.8164,81.7327,2259.9616,2277.9252,2239.7568,2258.841,1.27E+12,8.12E+11,56.77,-12.4344,26.0504,73.0979,25,0
720,"2,276.98","2,271.14","2,282.10","2,264.06",2276.98,2276.98,3339890000,0.35%,63.7555,2260.6225,2252.3436,15.6776,-1.9814,17.659,76.3904,91.4709,2261.6891,2279.4939,2241.7511,2260.6225,1.27E+12,8.15E+11,35.6299,-10.5613,25.9152,136.2669,100,0
721,"2,268.90","2,273.59","2,275.49","2,268.90",2268.8999,2268.8999,3217610000,-0.35%,60.8412,2261.758,2253.9204,15.164,-1.996,17.16,84.8444,81.3296,2262.4774,2279.7307,2243.7853,2261.758,1.27E+12,8.12E+11,22.71,-27.2281,25.7869,95.9197,95,75
722,"2,268.90","2,269.72","2,279.27","2,265.27",2268.8999,2268.8999,3638790000,0.00%,60.8412,2262.2265,2255.347,14.5887,-2.057,16.6457,79.0183,64.2544,2263.1576,2280.4294,2244.0235,2262.2265,1.27E+12,8.12E+11,9.3699,-27.2281,25.7676,86.759,90,70
723,"2,275.32","2,268.60","2,275.32","2,260.83",2275.3201,2275.3201,3620410000,0.28%,62.3561,2263.1445,2257.2492,14.4839,-1.7295,16.2134,67.64,57.3361,2264.4046,2282.0315,2244.2575,2263.1445,1.27E+12,8.15E+11,18.3601,-13.9852,25.5482,71.7624,85,65
724,"2,270.44","2,271.14","2,271.78","2,254.25",2270.4399,2270.4399,3462130000,-0.21%,60.4839,2263.0805,2258.5055,13.8474,-1.8928,15.7402,58.9575,55.2819,2265.0994,2281.8591,2244.3018,2263.0805,1.27E+12,8.12E+11,-1.28,-24.0515,25.0509,23.8875,80,60
725,"2,274.64","2,272.74","2,278.68","2,271.51",2274.6399,2274.6399,3081270000,0.18%,61.5303,2264.1485,2260.0421,13.526,-1.7713,15.2973,60.6849,69.4368,2266.2003,2283.0056,2245.2914,2264.1485,1.27E+12,8.15E+11,21.3599,-15.3882,24.7891,111.7809,75,55
726,"2,267.89","2,269.14","2,272.08","2,262.81",2267.8899,2267.8899,3584990000,-0.30%,58.8921,2264.4415,2260.7895,12.5816,-2.1726,14.7542,63.1443,64.7142,2266.5566,2283.3398,2245.5431,2264.4415,1.27E+12,8.11E+11,5.8599,-29.3115,24.1681,33.4906,70,50
727,"2,271.89","2,269.14","2,272.01","2,263.35",2271.8899,2271.8899,3315250000,0.18%,59.9629,2265.1325,2261.8467,12.0173,-2.1895,14.2068,67.8522,69.4054,2267.266,2284.059,2246.2059,2265.1325,1.28E+12,8.15E+11,13.8198,-21.0607,23.5781,44.8088,65,45
728,"2,263.69","2,271.90","2,274.33","2,258.41",2263.6899,2263.6899,3165970000,-0.36%,56.7717,2265.1905,2262.0222,10.7842,-2.7381,13.5223,63.0802,55.121,2267.1286,2284.0919,2246.2891,2265.1905,1.28E+12,8.12E+11,1.1599,-37.9748,22.8061,6.2045,60,40
729,"2,271.31","2,269.96","2,276.96","2,265.01",2271.3101,2271.3101,3524970000,0.34%,58.9108,2265.218,2262.9068,10.303,-2.5754,12.8784,60.8964,58.1628,2267.7114,2284.1533,2246.2827,2265.218,1.28E+12,8.15E+11,0.55,-22.2567,22.1676,64.3305,55,35
730,"2,265.20","2,267.78","2,271.78","2,257.02",2265.2,2265.2,3152710000,-0.27%,56.549,2265.219,2263.1252,9.3212,-2.8458,12.167,53.6841,47.7684,2267.7097,2284.1543,2246.2837,2265.219,1.28E+12,8.12E+11,0.02,-34.8601,21.2201,-1.6794,50,30
731,"2,280.07","2,267.88","2,284.63","2,266.68",2280.0701,2280.0701,3810960000,0.66%,60.596,2266.1745,2264.739,9.632,-2.028,11.66,56.2159,62.7164,2269.1241,2286.0586,2246.2904,2266.1745,1.28E+12,8.16E+11,19.1101,-8.9391,20.7794,119.6188,100,25
732,"2,298.37","2,288.88","2,299.55","2,288.88",2298.3701,2298.3701,3846020000,0.80%,64.8384,2267.9035,2267.9419,11.2256,-0.3476,11.5731,61.4653,73.9111,2272.1904,2292.185,2243.6219,2267.9035,1.28E+12,8.20E+11,34.5801,-1.7897,20.8161,260.3126,100,20
733,"2,296.68","2,298.63","2,300.99","2,294.08",2296.6799,2296.6799,3610360000,-0.07%,64.1667,2269.2935,2270.6789,12.2113,0.5106,11.7007,75.6434,90.3027,2274.931,2296.6301,2241.9568,2269.2935,1.28E+12,8.16E+11,27.8,-6.3976,20.892,223.976,100,15
734,"2,294.69","2,299.02","2,299.02","2,291.62",2294.6899,2294.6899,3135890000,-0.09%,63.3534,2271.532,2272.9657,12.6857,0.788,11.8977,85.0819,91.0318,2277.3497,2299.4815,2243.5824,2271.532,1.28E+12,8.13E+11,44.77,-9.3514,20.8512,177.4393,95,10
735,"2,280.90","2,286.01","2,286.01","2,268.04",2280.8999,2280.8999,3591270000,-0.60%,57.9915,2273.114,2273.7213,11.8128,-0.068,11.8807,84.591,72.4384,2278.2419,2299.3725,2246.8555,2273.114,1.28E+12,8.09E+11,31.6399,-29.8206,19.8703,47.1084,90,5
736,"2,278.87","2,274.02","2,279.09","2,267.21",2278.8701,2278.8701,4087450000,-0.09%,57.2409,2275.116,2274.2117,10.8323,-0.8388,11.6711,72.4495,53.8784,2278.7901,2296.2117,2254.0203,2275.116,1.29E+12,8.05E+11,40.04,-39.5987,18.9091,11.2343,85,0
737,"2,279.55","2,285.59","2,289.14","2,272.44",2279.55,2279.55,3916610000,0.03%,57.4352,2276.202,2274.7201,9.9949,-1.3409,11.3358,54.605,37.498,2279.2124,2295.8102,2256.5938,2276.202,1.29E+12,8.09E+11,21.72,-45.8707,18.3369,48.6182,80,0
738,"2,280.85","2,276.69","2,283.97","2,271.65",2280.8501,2280.8501,3807710000,0.06%,57.8208,2276.707,2275.3039,9.3287,-1.6057,10.9344,43.1176,37.9762,2279.655,2296.2476,2257.1663,2276.707,1.29E+12,8.13E+11,10.1001,-43.0892,17.763,29.8662,75,30
739,"2,297.42","2,288.54","2,298.31","2,287.88",2297.4199,2297.4199,3597970000,0.73%,62.3927,2278.128,2277.4102,10.0222,-0.7298,10.752,44.7746,58.8495,2281.6277,2299.2866,2256.9694,2278.128,1.29E+12,8.17E+11,28.4199,-7.6381,17.6713,143.3917,70,25
740,"2,292.56","2,294.28","2,296.18","2,288.57",2292.5601,2292.5601,3109050000,-0.21%,60.3724,2278.907,2278.853,10.0636,-0.5507,10.6143,56.8896,73.843,2283.0022,2300.9672,2256.8468,2278.907,1.29E+12,8.13E+11,15.5801,-18.0358,17.5842,108.3279,65,20
741,"2,293.08","2,295.87","2,299.40","2,290.16",2293.0801,2293.0801,3448690000,0.02%,60.5164,2280.116,2280.208,10.0229,-0.4731,10.496,72.6614,85.2917,2284.352,2302.498,2257.734,2280.116,1.29E+12,8.17E+11,24.1802,-16.9232,17.6009,105.0336,60,15
742,"2,294.67","2,289.55","2,295.91","2,285.38",2294.6699,2294.6699,3609740000,0.07%,60.9728,2281.4045,2281.5853,10.0036,-0.3939,10.3975,79.8996,80.5641,2285.7381,2304.0212,2258.7878,2281.4045,1.29E+12,8.20E+11,25.77,-13.5218,17.4065,78.7279,55,10
743,"2,307.87","2,296.70","2,311.08","2,296.61",2307.8701,2307.8701,3677940000,0.58%,64.5538,2283.032,2284.0886,10.9275,0.424,10.5035,82.8065,82.5636,2288.2586,2308.2034,2257.8605,2283.032,1.29E+12,8.24E+11,32.55,-5.6483,17.681,138.9816,100,5
